time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
2.065988585399991274e+07 5.297455253784168205e-02 -6.856752589598765768e-01 1.405268129577475489e-01 8.562791966965352941e+00 -9.517523827821191551e-01 6.470484789122700420e+00 3.112500000000000000e+01 3.052811622619628906e-01 1.071906924247741699e+00 1.033178091049194336e+00 3.249625489115709476e-02 1.726674884557723999e-01 3.583739697933196466e-01 9.168958663940428577e-01
2.066821985399991274e+07 3.747387496698409426e-02 -7.617083360927193736e-01 1.726748697035784263e-01 8.433176938362047181e+00 -1.039653204815872645e+00 6.044409468098598026e+00 3.110351562500000000e+01 3.048161566257476807e-01 1.071394681930541992e+00 1.033813357353210449e+00 3.199512884020816461e-02 1.696269363164902289e-01 3.593299388885498047e-01 9.171068668365478516e-01
2.067655285399991274e+07 2.557525241418253173e-02 -8.029513699493414647e-01 1.942873977199361668e-01 8.338365945217038444e+00 -1.262436572944757973e+00 5.970585205800023942e+00 3.110351562500000000e+01 3.044190406799316406e-01 1.070776104927062766e+00 1.034423947334289551e+00 3.120329044759273182e-02 1.663808524608613171e-01 3.602182567119597834e-01 9.173802137374877930e-01
2.068488585399991274e+07 -4.359067185168472025e-03 -8.854495066097862743e-01 2.346102475981813595e-01 8.503985148432370522e+00 -1.378062393704974298e+00 6.237542854620050647e+00 3.113671875000000000e+01 3.040157258510589600e-01 1.070109844207763672e+00 1.035048365592956321e+00 3.034936636686330277e-02 1.629738956689835705e-01 3.610831499099731445e-01 9.176804423332214355e-01
2.069321985399991274e+07 -4.554869282656869717e-02 -9.882430534153916479e-01 2.731694401978069786e-01 9.030846236921728831e+00 -1.201080534197402461e+00 6.279518500108883572e+00 3.109765625000000000e+01 3.036359250545501709e-01 1.069358825683593528e+00 1.035727262496948242e+00 2.846552990376949310e-02 1.589839607477188388e-01 3.619888126850128174e-01 9.180838465690611683e-01
2.070155285399991274e+07 -7.799891174737537403e-02 -1.057938516612529689e+00 2.963232421998961419e-01 8.994842062309698960e+00 -1.186625930684987118e+00 6.075460128440360208e+00 3.109570312500000000e+01 3.032703399658203125e-01 1.068568468093872070e+00 1.036417841911315918e+00 2.637633681297302246e-02 1.549424380064010620e-01 3.627043664455413818e-01 9.185547232627868652e-01
2.070988685399991274e+07 -1.605190266790250675e-01 -1.190817233529331443e+00 3.575249518562379492e-01 8.904831625779628723e+00 -1.175779312508486774e+00 6.008522374635004937e+00 3.108984375000000000e+01 3.027901947498320978e-01 1.067766070365905540e+00 1.037182211875915527e+00 2.408313192427158356e-02 1.502356678247452060e-01 3.636342287063598633e-01 9.190317392349244274e-01
2.071821985399991274e+07 -2.484636187366982274e-01 -1.329729188795516714e+00 4.045550477290975055e-01 9.137658621604083820e+00 -1.048146514508137450e+00 6.106332099215319609e+00 3.108984375000000000e+01 3.023627698421478271e-01 1.066916465759277122e+00 1.037949442863464355e+00 2.147815376520162411e-02 1.452278047800064364e-01 3.643841445446014404e-01 9.196041822433471680e-01
2.072655285399991274e+07 -2.826565095776432668e-01 -1.393901053535140822e+00 4.207393734894293580e-01 9.155660708910096091e+00 -8.084963127438441477e-01 6.202377344915423585e+00 3.107617187500000000e+01 3.018652796745299738e-01 1.066109180450439453e+00 1.038780689239501953e+00 1.868726313114166260e-02 1.401056945323944092e-01 3.650178909301756702e-01 9.202082157135007545e-01
2.073488585399991274e+07 -3.209370869497938372e-01 -1.508463936902302738e+00 4.415777305742158432e-01 8.602396559038584911e+00 -6.314173296559035808e-01 5.860841307875201522e+00 3.110156250000000000e+01 3.013420403003692627e-01 1.065289258956909180e+00 1.039644122123718262e+00 1.566759124398231506e-02 1.345189064741134921e-01 3.655416071414946400e-01 9.208900332450865589e-01
