time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
1.773337603229999542e+08 -1.517704807206879947e+00 -6.317871844000091386e-01 2.167395349690939138e-02 8.620398646344600735e+00 4.154391778400540858e+00 2.618611182074387145e+00 2.953710937500000000e+01 -8.172421455383299671e-01 -1.207346677780151145e+00 1.837798118591308372e+00 -2.419299930334091187e-01 -1.852812916040421642e-01 -9.380083680152887515e-01 -1.651693880558013638e-01 1.443283819948854330e+02 5.118619226548016599e+00 -1.550331599112131364e-01
1.773420933229999542e+08 -1.487364289530883621e+00 -6.315584728143841531e-01 -3.966761462377392522e-05 8.539989323044400393e+00 4.064077970838170017e+00 2.712639197267249003e+00 2.953710937500000000e+01 -8.206023573875427246e-01 -1.196868538856506348e+00 1.835652470588684082e+00 -2.412326782941818515e-01 -1.833740621805192705e-01 -9.373759627342224121e-01 -1.717759668827056885e-01 1.447622364229789582e+02 5.165548543309241403e+00 -1.449685336376408673e-01
1.773504273229999542e+08 -1.440924555284158748e+00 -6.256377591360476886e-01 -4.872514206072331433e-02 8.470381252127811678e+00 3.868990788106905665e+00 2.805386472304273404e+00 2.954101562500000000e+01 -8.238074183464049183e-01 -1.186335086822509544e+00 1.833502173423767090e+00 -2.406610101461410800e-01 -1.815177649259568926e-01 -9.366781711578368030e-01 -1.782344579696655273e-01 1.451967288489783527e+02 5.212745456710734082e+00 -1.347046176730297418e-01
1.773587603229999542e+08 -1.408488589686793135e+00 -6.162608114180195829e-01 -1.064253179395267535e-01 8.398372902903753712e+00 3.691968028780489686e+00 2.924022328028095252e+00 2.956640625000000000e+01 -8.268594145774841309e-01 -1.175701141357421875e+00 1.831355452537536843e+00 -2.402746677398681641e-01 -1.794229149818422631e-01 -9.359928369522094727e-01 -1.843716204166412354e-01 1.456317497783594774e+02 5.260186910841797570e+00 -1.242347851355734001e-01
1.773670933229999542e+08 -1.396562469936277529e+00 -6.125982581525378778e-01 -1.363128966102577222e-01 8.436777355823251057e+00 3.660653282368203865e+00 2.983457042066556486e+00 2.956640625000000000e+01 -8.297278881072998047e-01 -1.165017247200012207e+00 1.829179644584655984e+00 -2.399981170892716009e-01 -1.774882674217226342e-01 -9.352193474769592285e-01 -1.904298216104508001e-01 1.460673578815681992e+02 5.307881469439202249e+00 -1.135557211154813034e-01
1.773754263229999542e+08 -1.369266442575172382e+00 -6.072993801410045966e-01 -1.928933302522918281e-01 8.389971928827613112e+00 3.663066052066641820e+00 3.085207295528982208e+00 2.953710937500000000e+01 -8.324180841445922852e-01 -1.154325366020202637e+00 1.826978325843811257e+00 -2.399535775184631070e-01 -1.757212430238724865e-01 -9.342834353446960449e-01 -1.966185718774795532e-01 1.465035469500479905e+02 5.355830471043620200e+00 -1.026588910161750218e-01
1.773837603229999542e+08 -1.338243749175163977e+00 -5.991815280083204742e-01 -2.301860061556019466e-01 8.353967754215585018e+00 3.764228851937476694e+00 3.149146149610296153e+00 2.953515625000000000e+01 -8.349363803863523170e-01 -1.143573284149169922e+00 1.824753284454345703e+00 -2.398745715618132712e-01 -1.742196232080460705e-01 -9.333048462867737927e-01 -2.026073783636092862e-01 1.469403673774010031e+02 5.404050201789469376e+00 -9.153979423781459512e-02
1.773920933229999542e+08 -1.321114625205006110e+00 -5.961676043337689190e-01 -2.405253541530543993e-01 8.352767615061850393e+00 3.777476045407325511e+00 3.153859502425985006e+00 2.953515625000000000e+01 -8.372646570205688477e-01 -1.132768392562866211e+00 1.822496891021728072e+00 -2.398433685302734097e-01 -1.729823499917984286e-01 -9.322171807289123535e-01 -2.086224406957626343e-01 1.473777153209241533e+02 5.452526894621857245e+00 -8.020288062034816590e-02
1.774004263229999542e+08 -1.287798921852751910e+00 -5.910747774391552634e-01 -2.477778351861170403e-01 8.323964275372224719e+00 3.690770439011048065e+00 3.153121491756381012e+00 2.958398437500000000e+01 -8.394070863723753773e-01 -1.121932625770568848e+00 1.820195436477660911e+00 -2.399320453405379971e-01 -1.718637645244599499e-01 -9.310597181320190430e-01 -2.145302444696426392e-01 1.478156402712426996e+02 5.501256860082595068e+00 -6.864704337293263403e-02
1.774087603229999542e+08 -1.255939192967290730e+00 -5.834151118953381232e-01 -2.483127999772967998e-01 8.305962188066208896e+00 3.501700018455834229e+00 3.169911142099736789e+00 2.956054687500000000e+01 -8.413770198822019264e-01 -1.111038088798522727e+00 1.817874193191528320e+00 -2.403748482465743463e-01 -1.707107424736024615e-01 -9.297984838485715553e-01 -2.203466743230819980e-01 1.482541940793927893e+02 5.550229335278678455e+00 -5.686905522242496902e-02
