time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
2.734954325419998169e+08 -3.406275302970088875e-02 -2.537101042904043105e-02 1.406438470471450819e-02 9.357284086737459816e+00 4.607972097680220758e-01 -2.074770399382901420e+00 1.984765625000000000e+01 -2.407055497169494351e-01 1.069416403770446777e+00 2.041165590286254883e+00 -3.248461335897440128e-02 -2.780596911907195490e-01 3.144019544124604382e-01 9.070716500282287598e-01 8.373762488617275376e+05 4.547119335495217820e+04 -1.572605783950468176e+05
2.735037655419998169e+08 -3.234891913746196918e-02 -3.026816574003440147e-02 1.083606221306754325e-02 9.424491879346579282e+00 4.692211300578679189e-01 -2.093342020454656449e+00 1.982617187500000000e+01 -2.407776117324828824e-01 1.069668412208557129e+00 2.041147947311401367e+00 -3.258800134062767029e-02 -2.781691849231719971e-01 3.142813444137572687e-01 9.070761799812316895e-01 8.373975816711211810e+05 4.547230870570339175e+04 -1.572645477726276440e+05
2.735120985419998169e+08 -3.211240256220872918e-02 -3.371710213716995475e-02 6.007890370998076116e-03 9.515702455030387696e+00 4.788471725509055310e-01 -2.102843068197100429e+00 1.987109375000000000e+01 -2.408530861139296930e-01 1.069906830787658691e+00 2.041125774383544922e+00 -3.266060352325450555e-02 -2.782750725746154230e-01 3.141449689865113415e-01 9.070882797241210938e-01 8.374189151444414165e+05 4.547342409003943612e+04 -1.572685172965574311e+05
2.735204325419998169e+08 -3.407278142767215107e-02 -3.603665549514296212e-02 5.221410697851827654e-03 9.522903289952797223e+00 4.668037200105891182e-01 -2.119396241879760723e+00 1.987109375000000000e+01 -2.409320920705795288e-01 1.070136904716491699e+00 2.041102409362792969e+00 -3.271682560443883725e-02 -2.784075438976287842e-01 3.139976561069488525e-01 9.070966243743896484e-01 8.374402518395890947e+05 4.547453964023281878e+04 -1.572724874446366157e+05
2.735287655419998169e+08 -3.627986881303945504e-02 -3.719972434291897445e-02 4.435571444790106788e-03 9.516902594184124098e+00 4.848684671607063068e-01 -2.125198539061094571e+00 1.982421875000000000e+01 -2.410102784633636475e-01 1.070355176925659180e+00 2.041079759597778320e+00 -3.277513757348055057e-02 -2.785391211509704590e-01 3.138282895088196356e-01 9.071127176284790039e-01 8.374615866351333680e+05 4.547565509086486418e+04 -1.572764572641001723e+05
2.735370985419998169e+08 -4.093923837037381080e-02 -3.894939205203983706e-02 3.133550473583263454e-03 9.538505098951340244e+00 4.427167070148670946e-01 -2.235986139456129784e+00 1.983398437500000000e+01 -2.410876154899596890e-01 1.070513367652893066e+00 2.041041374206542969e+00 -3.287547081708902530e-02 -2.785858213901519775e-01 3.134561181068420410e-01 9.072234630584716797e-01 8.374829220937708160e+05 4.547677057077518111e+04 -1.572804272426746029e+05
2.735454325419998169e+08 -4.265829864351584205e-02 -3.895161691582534058e-02 2.074054937113090774e-03 9.527703846567730395e+00 4.595776053203636247e-01 -2.225262938324892747e+00 1.983398437500000000e+01 -2.411592453718184870e-01 1.070668816566467285e+00 2.041009902954100674e+00 -3.296293318271642514e-02 -2.786648571491240345e-01 3.130955696105957031e-01 9.073205590248110131e-01 8.375042607741822721e+05 4.547788621705604601e+04 -1.572843978518593358e+05
2.735537655419998169e+08 -4.683362751612472202e-02 -3.491412755489181619e-02 1.298040704497864864e-03 9.458095775651141679e+00 4.270682907611355050e-01 -2.291290072431796609e+00 1.985546875000000000e+01 -2.412198185920715887e-01 1.070878148078918457e+00 2.041003704071044922e+00 -3.298252448439592532e-02 -2.788281738758086048e-01 3.129493296146392822e-01 9.073200821876524769e-01 8.375255975484601222e+05 4.547900175799459248e+04 -1.572883681459968502e+05
2.735620995419998169e+08 -5.617743509133043406e-02 -2.739946115979419519e-02 -5.075599173972074676e-03 9.490499532801967675e+00 4.451295846283951918e-01 -2.332893864283932750e+00 1.983984375000000000e+01 -2.412698119878768921e-01 1.071076512336730735e+00 2.041005134582519531e+00 -3.299774602055555173e-02 -2.789808809757232111e-01 3.127666115760804333e-01 9.073356389999388538e-01 8.375469375435860129e+05 4.548011746434913948e+04 -1.572923390800755296e+05
2.735704325419998169e+08 -5.986241113514701589e-02 -2.393740690324136153e-02 -6.123254692951355868e-03 9.474897723803424654e+00 4.571737925743364905e-01 -2.311521562253637363e+00 1.987304687500000000e+01 -2.413045316934584739e-01 1.071271061897277832e+00 2.041010379791260210e+00 -3.299202397465705872e-02 -2.791423797607420765e-01 3.125677704811096191e-01 9.073546528816224255e-01 8.375682756354624871e+05 4.548123306899159070e+04 -1.572963096974379732e+05
